genome,region,region_start,region_end,strand,id,gene_symbol,amr_gene_symbol,element_type,element_subtype,drug_class,drug_subclass
BU_WH712,contig_1,3863671,3864637,-1,CDS:BU_WH712_03215,per1_4,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH712,contig_1,4169280,4170246,-1,CDS:BU_WH712_03504,per1_5,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-H118,contig_1,4375876,4376836,-1,CDS:PV_TC-KB-H118_03724,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-H118,contig_1,5369910,5370237,1,CDS:PV_TC-KB-H118_04615,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_ET47,contig_1,4021528,4022488,-1,CDS:PV_ET47_03356,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_ET47,contig_1,5181847,5182174,1,CDS:PV_ET47_04410,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_H5-2,contig_1,163214,164030,1,CDS:BU_H5-2_00122,folP_1,sul2,AMR,AMR,SULFONAMIDE,SULFONAMIDE
BU_H5-2,contig_1,3466970,3468896,1,CDS:BU_H5-2_02895,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_H5-2,contig_1,3726196,3727087,1,CDS:BU_H5-2_03143,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CCUG63037,contig_1,4042447,4043407,-1,CDS:PV_CCUG63037_03373,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CCUG63037,contig_1,4979877,4980204,1,CDS:PV_CCUG63037_04200,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH714,contig_1,3187810,3188548,1,CDS:BU_WH714_02629,erm,erm(B),AMR,AMR,MACROLIDE,MACROLIDE
BU_WH714,contig_1,3910864,3911755,1,CDS:BU_WH714_03308,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH714,contig_1,4051170,4053096,-1,CDS:BU_WH714_03434,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-KB-H48-1,contig_1,2207340,2208300,1,CDS:PV_TC-KB-H48-1_01902,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-H48-1,contig_1,3243991,3244318,1,CDS:PV_TC-KB-H48-1_02844,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-JM-F11,contig_1,342495,342822,-1,CDS:PV_TC-JM-F11_00245,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-JM-F11,contig_1,1369500,1370460,1,CDS:PV_TC-JM-F11_01170,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-JM-F11,contig_1,4228769,4230695,1,CDS:PV_TC-JM-F11_03689,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_VPI-C20-25,contig_1,3344711,3345602,1,CDS:BU_VPI-C20-25_02724,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_VPI-C20-25,contig_1,3831633,3831960,1,CDS:BU_VPI-C20-25_03146,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-KB-H143,contig_1,1657184,1657511,-1,CDS:PV_TC-KB-H143_01287,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-KB-H143,contig_1,2707758,2708718,1,CDS:PV_TC-KB-H143_02224,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-H143,contig_1,3711045,3711999,-1,CDS:PV_TC-KB-H143_03143,per1_2,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-H143,contig_1,3899754,3900972,-1,CDS:PV_TC-KB-H143_03320,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
BU_NT5186,contig_1,2726071,2727997,-1,CDS:BU_NT5186_02155,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_NT5186,contig_1,3464810,3465701,1,CDS:BU_NT5186_02834,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CLA-AP-H4,contig_1,2187619,2189545,-1,CDS:PV_CLA-AP-H4_01752,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CLA-AP-H4,contig_1,2457070,2458030,1,CDS:PV_CLA-AP-H4_01988,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CLA-AP-H4,contig_2,1303155,1304382,1,CDS:PV_CLA-AP-H4_03457,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_CLA-AP-H4,contig_2,1304495,1305959,1,CDS:PV_CLA-AP-H4_03458,msr(D),msr(D),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_CLA-AP-H4,contig_2,1306730,1307465,1,CDS:PV_CLA-AP-H4_03460,ermC,erm(G),AMR,AMR,MACROLIDE,MACROLIDE
BU_WH207,contig_1,249780,250518,1,CDS:BU_WH207_00204,erm,erm(B),AMR,AMR,MACROLIDE,MACROLIDE
BU_WH207,contig_1,252856,253723,1,CDS:BU_WH207_00211,aadK,aadE,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN
BU_WH207,contig_1,3279754,3281680,-1,CDS:BU_WH207_02720,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH207,contig_1,3374219,3375110,1,CDS:BU_WH207_02795,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CCUG36807,contig_1,3919797,3921723,1,CDS:PV_CCUG36807_03254,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG36807,contig_1,3996570,3997530,-1,CDS:PV_CCUG36807_03327,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CCUG36807,contig_1,4889872,4890199,1,CDS:PV_CCUG36807_04105,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_NT5096,contig_1,198448,200395,1,CDS:PV_NT5096_00145,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_NT5096,contig_1,2725954,2727160,1,CDS:PV_NT5096_02228,entS,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
PV_NT5096,contig_1,2727184,2727697,1,CDS:PV_NT5096_02229,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
PV_NT5096,contig_1,4270447,4271407,-1,CDS:PV_NT5096_03659,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_NT5096,contig_1,5345169,5345496,1,CDS:PV_NT5096_04617,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_CL06T06C18,contig_1,3687017,3687908,1,CDS:BU_CL06T06C18_03067,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_CL06T06C18,contig_1,4175261,4177187,1,CDS:BU_CL06T06C18_03516,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH20,contig_1,15912,17838,-1,CDS:BU_WH20_00013,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH20,contig_1,521075,521966,1,CDS:BU_WH20_00471,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH20,contig_1,2616401,2618327,-1,CDS:BU_WH20_02267,tet(Q)_2,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH20,contig_1,2662665,2663466,1,CDS:BU_WH20_02305,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
BU_WH20,contig_1,2663678,2664815,-1,CDS:BU_WH20_02306,tet(X),tet(X2),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH20,contig_1,2836282,2838208,1,CDS:BU_WH20_02449,tet(Q)_3,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH20,contig_4,184,2110,1,CDS:BU_WH20_03993,tet(Q)_4,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH20,contig_5,14389,16315,1,CDS:BU_WH20_04059,tet(Q)_5,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_ET601,contig_1,2520233,2521451,1,CDS:BU_ET601_02057,entS_1,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
BU_ET601,contig_1,3484430,3485321,1,CDS:BU_ET601_02967,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_ET601,contig_1,3988551,3989064,-1,CDS:BU_ET601_03408,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
BU_ET601,contig_1,3989088,3990294,-1,CDS:BU_ET601_03409,entS_2,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
BU_ATCC8492,contig_1,3761748,3762639,1,CDS:BU_ATCC8492_03118,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_TC-4889A,contig_1,1089615,1091541,-1,CDS:PV_TC-4889A_00947,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-4889A,contig_1,1444226,1445192,1,CDS:PV_TC-4889A_01279,per1_1,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-4889A,contig_1,2107701,2108667,1,CDS:PV_TC-4889A_01838,per1_2,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_R5-33,contig_1,3484945,3485836,1,CDS:BU_R5-33_02885,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CL11T00C01,contig_1,462629,463589,1,CDS:PV_CL11T00C01_00441,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CL11T00C01,contig_1,1498550,1499063,-1,CDS:PV_CL11T00C01_01440,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
PV_CL11T00C01,contig_1,1499087,1500293,-1,CDS:PV_CL11T00C01_01441,entS,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
PV_CL11T00C01,contig_1,1643808,1644543,-1,CDS:PV_CL11T00C01_01576,ermC,erm(G),AMR,AMR,MACROLIDE,MACROLIDE
PV_CL11T00C01,contig_1,3702754,3703720,1,CDS:PV_CL11T00C01_03361,per1_2,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CL11T00C01,contig_2,562724,564650,-1,CDS:PV_CL11T00C01_03961,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CL11T00C01,contig_2,647134,647461,1,CDS:PV_CL11T00C01_04031,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_CCUG49527,contig_1,2463116,2465042,1,CDS:BU_CCUG49527_01945,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CCUG49527,contig_1,3427309,3428200,1,CDS:BU_CCUG49527_02799,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH16,contig_2,362724,363615,1,CDS:BU_WH16_02712,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_NPI,contig_1,3344711,3345602,1,CDS:BU_NPI_02724,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_NPI,contig_1,3831633,3831960,1,CDS:BU_NPI_03145,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH17,contig_2,1599465,1600356,-1,CDS:BU_WH17_03832,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_CL03T12C37,contig_1,3738252,3739143,1,CDS:BU_CL03T12C37_03129,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH511,contig_1,3451826,3452717,1,CDS:BU_WH511_02817,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_CLA-AA-H218,contig_1,2739482,2741408,-1,CDS:BU_CLA-AA-H218_02181,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CLA-AA-H218,contig_1,3426405,3427296,-1,CDS:BU_CLA-AA-H218_02799,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_CLA-JM-H26,contig_1,1350499,1352425,-1,CDS:BU_CLA-JM-H26_01027,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CLA-JM-H26,contig_1,3483110,3484001,1,CDS:BU_CLA-JM-H26_02915,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_JCM13288,contig_1,2234550,2235402,1,CDS:BU_JCM13288_01778,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_JCM13288,contig_2,149326,150217,1,CDS:BU_JCM13288_03011,per1_2,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_JCM13288,contig_2,518772,520698,-1,CDS:BU_JCM13288_03362,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_JCM13288,contig_2,1578041,1578866,1,CDS:BU_JCM13288_04279,bla,blaOXA-347,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_JCM13288,contig_2,1579068,1579869,-1,CDS:BU_JCM13288_04281,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
BU_JCM13288,contig_4,37651,38617,1,CDS:BU_JCM13288_04499,per1_3,cfxA3,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_H4-7,contig_1,3514698,3515589,-1,CDS:BU_H4-7_02933,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_TC-KB-M13,contig_1,2319052,2320978,-1,CDS:PV_TC-KB-M13_02010,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-KB-M13,contig_1,3348986,3349946,1,CDS:PV_TC-KB-M13_03026,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-M13,contig_1,4238720,4239641,-1,CDS:PV_TC-KB-M13_03855,per1_2,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-M13,contig_1,4390214,4390541,1,CDS:PV_TC-KB-M13_03999,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_CLA-AV-11,contig_1,3453447,3455373,1,CDS:BU_CLA-AV-11_02790,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CLA-AV-11,contig_1,3562113,3563004,1,CDS:BU_CLA-AV-11_02885,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CCUG68662,contig_1,627846,628743,-1,CDS:PV_CCUG68662_00538,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CCUG68662,contig_1,1193423,1195349,-1,CDS:PV_CCUG68662_01002,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG68662,contig_1,2350885,2351212,-1,CDS:PV_CCUG68662_01895,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_CCUG68662,contig_1,3469457,3470417,1,CDS:PV_CCUG68662_02913,per1_2,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-4835B,contig_1,1620275,1621076,-1,CDS:PV_TC-4835B_01344,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
PV_TC-4835B,contig_1,2706064,2707024,-1,CDS:PV_TC-4835B_02356,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-4835B,contig_1,3641164,3641491,1,CDS:PV_TC-4835B_03196,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_909,contig_1,3481374,3482265,1,CDS:BU_909_02896,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH12,contig_1,2801987,2803913,1,CDS:BU_WH12_02239,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH12,contig_1,3391343,3392234,-1,CDS:BU_WH12_02792,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_CLA-JM-H26-B,contig_1,982,2908,1,CDS:BU_CLA-JM-H26-B_00002,tet(Q)_1,tet,AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CLA-JM-H26-B,contig_1,863884,864775,-1,CDS:BU_CLA-JM-H26-B_00909,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_CLA-JM-H26-B,contig_1,2029655,2031581,-1,CDS:BU_CLA-JM-H26-B_02156,tet(Q)_2,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CLA-JM-H26-B,contig_1,3183198,3185124,-1,CDS:BU_CLA-JM-H26-B_03270,tet(Q)_3,tet,AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CLA-JM-H26-B,contig_1,3185410,3186211,-1,CDS:BU_CLA-JM-H26-B_03271,ermD_1,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
BU_CLA-JM-H26-B,contig_2,19192,21118,-1,CDS:BU_CLA-JM-H26-B_03291,tet(Q)_4,tet,AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CLA-JM-H26-B,contig_2,21404,22205,-1,CDS:BU_CLA-JM-H26-B_03292,ermD_2,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
BU_CLA-JM-H26-B,contig_2,1212352,1213153,1,CDS:BU_CLA-JM-H26-B_04453,ermD_3,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
BU_CLA-JM-H26-B,contig_2,1213439,1215365,1,CDS:BU_CLA-JM-H26-B_04454,tet(Q)_5,tet,AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH504,contig_1,3417511,3419437,-1,CDS:BU_WH504_02857,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH504,contig_1,3633840,3634731,1,CDS:BU_WH504_03067,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH504,contig_1,4298163,4299381,-1,CDS:BU_WH504_03677,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_TC-4889B,contig_1,2053308,2054268,1,CDS:PV_TC-4889B_01766,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-4889B,contig_1,2146323,2148249,-1,CDS:PV_TC-4889B_01882,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-4889B,contig_1,3199098,3199425,1,CDS:PV_TC-4889B_02882,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-KB-H55,contig_1,2221158,2222118,1,CDS:PV_TC-KB-H55_01914,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-H55,contig_1,3257809,3258136,1,CDS:PV_TC-KB-H55_02855,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH204,contig_1,2027970,2029896,-1,CDS:BU_WH204_01607,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH204,contig_1,3660774,3661665,1,CDS:BU_WH204_03049,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH203,contig_1,2026543,2028469,-1,CDS:BU_WH203_01608,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH203,contig_1,3659347,3660238,1,CDS:BU_WH203_03049,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CL09T03C04,contig_1,1055281,1057207,1,CDS:PV_CL09T03C04_00802,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CL09T03C04,contig_1,3902990,3903950,-1,CDS:PV_CL09T03C04_03248,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH4,contig_1,31259,31586,1,CDS:BU_WH4_00042,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH4,contig_1,1960061,1960913,1,CDS:BU_WH4_01517,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH4,contig_2,12952,14878,-1,CDS:BU_WH4_02300,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH4,contig_2,1377992,1378883,-1,CDS:BU_WH4_03530,per1_2,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH4,contig_2,1695633,1697559,1,CDS:BU_WH4_03815,tet(Q)_2,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-KB-M20,contig_1,930368,930695,-1,CDS:PV_TC-KB-M20_00709,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-KB-M20,contig_1,1081268,1082189,1,CDS:PV_TC-KB-M20_00855,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-M20,contig_1,1969329,1970289,-1,CDS:PV_TC-KB-M20_01686,per1_2,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-M20,contig_1,3072374,3074300,1,CDS:PV_TC-KB-M20_02779,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_H6-5,contig_1,1506088,1508014,-1,CDS:PV_H6-5_01328,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_H6-5,contig_1,3313294,3314254,-1,CDS:PV_H6-5_03025,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_H6-5,contig_1,4264864,4265191,1,CDS:PV_H6-5_03939,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_CL03T00C23,contig_1,3784686,3785577,1,CDS:BU_CL03T00C23_03183,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_JCM13286,contig_1,1652709,1654635,1,CDS:BU_JCM13286_01318,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_JCM13286,contig_1,3532197,3533088,1,CDS:BU_JCM13286_03069,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_DNLKV2,contig_1,229111,231037,1,CDS:BU_DNLKV2_00166,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_DNLKV2,contig_1,3753082,3753973,-1,CDS:BU_DNLKV2_03154,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_NT5093,contig_1,4057116,4058076,-1,CDS:PV_NT5093_03372,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CCUG35393,contig_1,712384,714310,1,CDS:PV_CCUG35393_00622,tet(Q),tet,AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG35393,contig_1,1068260,1069226,-1,CDS:PV_CCUG35393_00907,per1_1,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CCUG35393,contig_1,4767206,4768166,1,CDS:PV_CCUG35393_04175,per1_2,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CCUG35393,contig_1,5579865,5580192,1,CDS:PV_CCUG35393_04900,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_NT5181,contig_1,1073299,1074175,1,CDS:PV_NT5181_00901,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_NT5181,contig_1,3748098,3750024,-1,CDS:PV_NT5181_03205,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_NT5181,contig_1,3999888,4000848,-1,CDS:PV_NT5181_03456,per1_2,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_NT5181,contig_1,4501720,4502596,1,CDS:PV_NT5181_03897,per1_3,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_ET597,contig_1,485732,486950,1,CDS:PV_ET597_00395,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_ET597,contig_1,1536555,1537356,-1,CDS:PV_ET597_01269,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
PV_ET597,contig_1,3489058,3490018,1,CDS:PV_ET597_02986,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_ET597,contig_1,4488092,4488419,1,CDS:PV_ET597_03943,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_ET597,contig_3,2967,4893,-1,CDS:PV_ET597_04650,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG39752,contig_1,223642,225568,-1,CDS:PV_CCUG39752_00187,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG39752,contig_1,1206606,1207572,-1,CDS:PV_CCUG39752_00958,per1_1,cfxA3,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CCUG39752,contig_1,1613643,1614609,1,CDS:PV_CCUG39752_01300,per1_2,cfxA3,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CCUG39752,contig_1,2686062,2687028,-1,CDS:PV_CCUG39752_02204,per1_3,cfxA3,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CCUG39752,contig_1,4771301,4772267,-1,CDS:PV_CCUG39752_04115,per1_5,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_NT5098,contig_1,1116365,1118291,1,CDS:PV_NT5098_00856,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_NT5098,contig_1,2142531,2144457,-1,CDS:PV_NT5098_01770,tet(Q)_2,tet,AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_NT5098,contig_1,2635467,2636673,1,CDS:PV_NT5098_02154,entS_1,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
PV_NT5098,contig_1,2636697,2637210,1,CDS:PV_NT5098_02155,linA_1,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
PV_NT5098,contig_1,2733039,2734245,1,CDS:PV_NT5098_02226,entS_2,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
PV_NT5098,contig_1,2734269,2734782,1,CDS:PV_NT5098_02227,linA_2,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
PV_NT5098,contig_1,2941921,2943139,1,CDS:PV_NT5098_02417,entS_3,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_NT5098,contig_1,4204431,4205391,-1,CDS:PV_NT5098_03585,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CLA-JM-H27-B,contig_1,1086879,1088805,1,CDS:PV_CLA-JM-H27-B_00823,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CLA-JM-H27-B,contig_1,4148703,4149663,-1,CDS:PV_CLA-JM-H27-B_03568,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CLA-JM-H27-B,contig_1,4786025,4786826,1,CDS:PV_CLA-JM-H27-B_04159,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
PV_CLA-JM-H27-B,contig_1,4787112,4789038,1,CDS:PV_CLA-JM-H27-B_04160,tet(Q)_2,tet,AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CLA-JM-H27-B,contig_1,5264697,5265663,-1,CDS:PV_CLA-JM-H27-B_04581,per1_2,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
